variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2022;3335;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2023;2548;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2023;3261;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2010;3067;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2010;4197;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2011;2593;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2011;3378;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2012;2684;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2012;3538;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2013;2608;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2013;3498;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2014;2260;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2014;2887;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2015;2166;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2015;2642;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2016;2068;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2016;2631;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2017;2185;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2017;2568;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2018;5562;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2018;6926;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2019;2074;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2019;2351;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2020;2010;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2020;2396;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2021;2015;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2021;2497;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2022;2057;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2022;2560;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;men;value [person];2023;2169;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;passed;women;value [person];2023;2730;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2010;10280;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2010;13152;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2011;9715;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2011;12110;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2012;9181;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2012;11925;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2013;8985;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2013;11134;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2014;8318;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2014;10353;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2015;7896;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2015;9600;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2016;7462;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2016;8940;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2017;7233;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2017;8956;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2018;7178;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2018;8480;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2019;7189;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2019;8390;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2020;7536;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2020;8694;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;men;value [person];2021;7822;
Number of persons who took/passed a matriculation exam;Poland;Łódzkie;took;women;value [person];2021;9205;
